file_base,cluster,time_min,cytokine,TSNE1,TSNE2
Batch_1_20250917_pTCR_cHCV_Sample1_P1_unstim-1.fcs,15,,UNSTIM,-10.7660308338539,-28.2589787966998
Batch_1_20250917_pTCR_cHCV_Sample1_P1_unstim-1.fcs,6,,UNSTIM,-32.32878111196,-17.1900684510814
Batch_1_20250917_pTCR_cHCV_Sample1_P1_unstim-1.fcs,7,,UNSTIM,-13.9241369903655,-21.8790386465587
Batch_1_20250917_pTCR_cHCV_Sample1_P1_unstim-1.fcs,19,,UNSTIM,-2.65832336216678,-30.4970066252422
Batch_1_20250917_pTCR_cHCV_Sample1_P1_unstim-1.fcs,16,,UNSTIM,-16.0932145359221,-28.2240826241133
Batch_1_20250917_pTCR_cHCV_Sample1_P1_unstim-1.fcs,14,,UNSTIM,-13.0313416464518,-27.9200810446718
Batch_1_20250917_pTCR_cHCV_Sample1_P1_unstim-1.fcs,1,,UNSTIM,-9.85225494239479,-18.8530546525115
Batch_1_20250917_pTCR_cHCV_Sample1_P1_unstim-1.fcs,11,,UNSTIM,42.5515355252406,-2.80562856789856
Batch_1_20250917_pTCR_cHCV_Sample1_P1_unstim-1.fcs,9,,UNSTIM,-12.9949642746128,-27.8225787030259
Batch_1_20250917_pTCR_cHCV_Sample1_P1_unstim-1.fcs,2,,UNSTIM,-5.73227582979948,-19.5706364889658
Batch_1_20250917_pTCR_cHCV_Sample1_P1_unstim-1.fcs,3,,UNSTIM,-25.7454733860505,-19.2368162920181
Batch_1_20250917_pTCR_cHCV_Sample1_P1_unstim-1.fcs,5,,UNSTIM,8.36848869828884,-23.3626408345346
Batch_1_20250917_pTCR_cHCV_Sample1_P1_unstim-1.fcs,8,,UNSTIM,-5.13436283182754,-25.3165033001948
Batch_1_20250917_pTCR_cHCV_Sample1_P1_unstim-1.fcs,12,,UNSTIM,-11.9529949357502,-31.0303201568029
Batch_1_20250917_pTCR_cHCV_Sample1_P1_unstim-1.fcs,10,,UNSTIM,-26.6573157383809,-22.2597552652796
Batch_1_20250917_pTCR_cHCV_Sample1_P1_unstim-1.fcs,17,,UNSTIM,13.9067879736507,-16.0241964594647
Batch_1_20250917_pTCR_cHCV_Sample1_P1_unstim-1.fcs,20,,UNSTIM,1.6186290545435,-40.5099535878867
Batch_1_20250917_pTCR_cHCV_Sample1_P1_unstim-1.fcs,4,,UNSTIM,6.07574340321015,-22.6513146691434
Batch_1_20250917_pTCR_cHCV_Sample1_P1_unstim-1.fcs,13,,UNSTIM,-15.820969204926,-29.6622560081021
Batch_1_20250917_pTCR_cHCV_Sample1_P1_unstim-1.fcs,18,,UNSTIM,-4.14721199578328,-30.6559058482572
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_0min.fcs,11,0,CD3,42.8911645002005,-3.47150067417365
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_0min.fcs,19,0,CD3,-5.17245173428782,-28.8073078890955
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_0min.fcs,16,0,CD3,-9.13525640201679,-21.2925274673812
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_0min.fcs,12,0,CD3,-2.79454852572677,-28.8653994569446
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_0min.fcs,9,0,CD3,-6.4417205937263,-21.1458601509776
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_0min.fcs,20,0,CD3,-1.37443126226093,-43.2577699420768
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_0min.fcs,14,0,CD3,-11.8150281713274,-24.5154555199782
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_0min.fcs,5,0,CD3,10.3150085226148,-22.1493646126066
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_0min.fcs,15,0,CD3,-6.21716243595933,-21.108775865858
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_0min.fcs,7,0,CD3,-15.6125164629097,-21.3963264226843
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_0min.fcs,8,0,CD3,3.99825830640501,-18.7988704208775
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_0min.fcs,3,0,CD3,-24.7967215725044,-21.3811271085695
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_0min.fcs,2,0,CD3,4.82454117318085,-17.6968499437806
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_0min.fcs,10,0,CD3,-15.111363743618,-23.3453780231087
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_0min.fcs,1,0,CD3,6.03866113498363,-18.6152992948312
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_0min.fcs,18,0,CD3,-1.95977450247749,-13.7964048921251
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_0min.fcs,6,0,CD3,-20.0850066006345,-22.6923114445472
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_0min.fcs,17,0,CD3,-8.38810819941199,-26.0313361117636
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_0min.fcs,4,0,CD3,9.84983667525845,-21.9410269286565
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_0min.fcs,13,0,CD3,-18.7950340730481,-22.2731304197121
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_10min.fcs,19,10,CD3,-6.09690071540118,-28.7839526370585
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_10min.fcs,7,10,CD3,-24.7863777495642,-22.8162367876482
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_10min.fcs,3,10,CD3,-32.0132345757905,-16.9749602931058
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_10min.fcs,15,10,CD3,-5.26002348446749,-22.3397280094365
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_10min.fcs,17,10,CD3,-13.3631883720494,-25.2000225830482
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_10min.fcs,5,10,CD3,7.22227942107239,-23.4041997048012
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_10min.fcs,16,10,CD3,-8.68054842340463,-22.7807464123612
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_10min.fcs,12,10,CD3,-3.63745485754119,-27.2397846883285
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_10min.fcs,2,10,CD3,5.54354953684002,-17.4262462378677
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_10min.fcs,14,10,CD3,-13.4994502816971,-24.8508612616778
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_10min.fcs,11,10,CD3,41.2927048930554,-4.28706289380673
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_10min.fcs,6,10,CD3,-20.5652416874964,-22.7745741388831
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_10min.fcs,8,10,CD3,2.27009852737768,-18.0274433712702
Batch_1_20250917_pTCR_cHCV_Sample1_P2_CD3_10min.fcs,10,10,CD3,-15.0669117702964,-25.0073131240752
